,Denis Suárez,Mesut Özil,Emile Smith Rowe,Granit Xhaka,Mohamed Elneny,Alex Iwobi,Konstantinos Mavropanos,Sokratis Papastathopoulos,Zech Medley,Emiliano Martínez,Shkodran Mustafi,Petr Cech,Alexandre Lacazette,Ainsley Maitland-Niles,Mattéo Guendouzi,Henrikh Mkhitaryan,Joe Willock,Stephan Lichtsteiner,Bukayo Saka,Aaron Ramsey,Carl Jenkinson,Pierre-Emerick Aubameyang,Héctor Bellerín,Eddie Nketiah,Laurent Koscielny,Sead Kolasinac,Bernd Leno,Lucas Torreira,Rob Holding,Danny Welbeck,Nacho Monreal,Successful,Unsuccessful,Unsuccessful Pass
Shkodran Mustafi,0,0,0,2,0,0,0,10,0,0,0,0,2,0,0,4,0,0,0,0,0,0,10,0,0,0,8,3,2,0,0,0,3,4
Petr Cech,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alexandre Lacazette,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,1,0,0,1,0,3
Ainsley Maitland-Niles,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mattéo Guendouzi,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,3
Henrikh Mkhitaryan,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,0,2,0,1,0,0,0,0,0,4
Joe Willock,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Stephan Lichtsteiner,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bukayo Saka,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aaron Ramsey,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2,2,0,0,1,0,1,2,0,0,0,3,5
Carl Jenkinson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pierre-Emerick Aubameyang,0,0,0,6,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,0,0,0,2,2,5
Héctor Bellerín,0,0,0,4,0,0,0,4,0,0,10,0,3,0,0,7,0,0,0,4,0,10,0,0,0,1,1,5,2,0,0,0,2,9
Eddie Nketiah,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Laurent Koscielny,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sead Kolasinac,0,0,0,4,0,8,0,2,0,0,0,0,0,0,1,0,0,0,0,6,0,2,1,0,0,0,0,2,11,0,0,0,0,18
Bernd Leno,0,0,0,3,0,1,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,7,0,0,0,0,13
Lucas Torreira,0,0,0,4,0,0,0,6,0,0,4,0,2,0,3,3,0,0,0,4,0,1,7,0,0,1,0,0,5,0,0,1,2,5
Rob Holding,0,0,0,5,0,4,0,16,0,0,1,0,1,0,0,1,0,0,0,1,0,1,3,0,0,19,3,1,0,0,0,0,1,5
Danny Welbeck,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nacho Monreal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Successful,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unsuccessful,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unsuccessful Pass,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
