,Jeremy Sarmiento,Neal Maupay,Alexis Mac Allister,James Furlong,Levi Colwill,Adam Lallana,Kaoru Mitoma,Pervis Estupiñán,Odeluga Offiah,Jan Paul van Hecke,Ed Turns,Adam Webster,Solly March,Lewis Dunk,Moisés Caicedo,Andrew Moran,Facundo Buonanotte,Evan Ferguson,Julio Enciso,Jason Steele,Steven Alzate,Leandro Trossard,Tom McGill,Jack Hinshelwood,Pascal Groß,Deniz Undav,Yasin Ayari,Imari Samuels,Robert Sánchez,Enock Mwepu,Billy Gilmour,Danny Welbeck,Tariq Lamptey,Cameron Peupion,Joël Veltman,Successful,Unsuccessful,Unsuccessful Pass
Ed Turns,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adam Webster,0,0,1,0,0,0,0,2,0,0,0,0,9,23,6,0,0,8,0,5,0,0,0,0,6,0,1,0,0,0,0,0,0,0,10,0,0,9
Solly March,0,0,2,0,0,0,1,2,0,0,0,5,0,2,1,0,0,1,0,0,0,0,0,0,10,0,2,0,0,0,0,3,0,0,6,0,1,11
Lewis Dunk,0,0,6,0,0,0,6,17,0,0,0,35,0,0,4,0,0,0,3,15,0,0,0,0,10,0,1,0,0,0,0,0,0,0,0,0,2,10
Moisés Caicedo,0,0,3,0,0,0,1,11,0,0,0,5,0,11,0,0,0,2,0,3,0,0,0,0,12,0,0,0,0,0,0,0,0,0,2,0,0,5
Andrew Moran,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Facundo Buonanotte,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Evan Ferguson,0,0,2,0,0,0,2,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,4,1,2,6
Julio Enciso,0,0,0,0,0,0,1,3,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,1
Jason Steele,0,0,3,0,0,0,1,3,0,0,0,0,0,14,4,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,9
Steven Alzate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Leandro Trossard,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tom McGill,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jack Hinshelwood,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pascal Groß,0,0,3,0,0,0,2,2,0,0,0,8,11,11,2,0,0,2,0,1,0,0,0,0,0,0,2,0,0,0,0,2,0,0,14,0,2,9
Deniz Undav,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yasin Ayari,0,0,0,0,0,0,2,1,0,0,0,1,2,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
Imari Samuels,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Robert Sánchez,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Enock Mwepu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Billy Gilmour,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Danny Welbeck,0,0,0,0,0,0,1,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,2
Tariq Lamptey,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cameron Peupion,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Joël Veltman,0,0,0,0,0,0,0,0,0,0,0,9,10,2,3,0,0,4,0,5,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,1,14
Successful,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unsuccessful,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unsuccessful Pass,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
